Source,Target,Type,Weight
vox,creyese,Undirected,1
creyese,democracia,Undirected,1
democracia,pluralidad,Undirected,1
pluralidad,respeto,Undirected,1
respeto,ideas,Undirected,1
ideas,demas,Undirected,1
demas,queda,Undirected,1
queda,democrata,Undirected,1
democrata,altura,Undirected,1
altura,pasando,Undirected,1
pasando,gusta,Undirected,1
gusta,venden,Undirected,1
venden,tienda,Undirected,1
concejal,adscrito,Undirected,1
adscrito,ex,Undirected,1
ex,vox,Undirected,1
vox,reconocer,Undirected,1
reconocer,valentía,Undirected,1
valentía,presentar,Undirected,1
presentar,presupuestos,Undirected,1
presupuestos,meses,Undirected,1
meses,elecciones,Undirected,3
elecciones,teniendo,Undirected,1
teniendo,sentido,Undirected,1
sentido,voto,Undirected,1
voto,cualquiera,Undirected,1
cualquiera,votaciones,Undirected,1
votaciones,legislatura,Undirected,1
legislatura,calificaría,Undirected,1
calificaría,acto,Undirected,1
acto,valentía,Undirected,1
decirle,cosas,Undirected,1
cosas,diré,Undirected,1
diré,cabeza,Undirected,1
rehuso,gallardo,Undirected,1
gallardo,dirigir,Undirected,19
dirigir,equipo,Undirected,4
equipo,river,Undirected,3
curioso,dijiste,Undirected,1
dijiste,aprobaste,Undirected,1
aprobaste,ley,Undirected,1
ley,infraestructura,Undirected,1
infraestructura,crítica,Undirected,1
ojalá,parlament,Undirected,1
parlament,catalunya,Undirected,1
catalunya,libertad,Undirected,1
libertad,partidos,Undirected,1
partidos,representar,Undirected,1
representar,votantes,Undirected,1
votantes,igualdad,Undirected,1
igualdad,condiciones,Undirected,14
sangrante,caso,Undirected,1
caso,votante,Undirected,1
votante,comunista,Undirected,1
comunista,países,Undirected,1
países,esquilmados,Undirected,1
esquilmados,gente,Undirected,1
gente,asesinada,Undirected,1
asesinada,centenares,Undirected,1
centenares,millones,Undirected,1
millones,propiedad,Undirected,1
propiedad,privada,Undirected,1
privada,destruida,Undirected,1
destruida,libertades,Undirected,1
libertades,ignoradas,Undirected,1
ignoradas,ruina,Undirected,1
ruina,moral,Undirected,1
moral,económica,Undirected,1
económica,verificar,Undirected,1
verificar,tuvieron,Undirected,1
tuvieron,construir,Undirected,1
construir,huyeran,Undirected,1
ministerio,igualdad,Undirected,44
igualdad,pavimental,Undirected,1
pavimental,anti,Undirected,1
anti,vioruedas,Undirected,1
pinché,sangrado,Undirected,1
sangrado,normal,Undirected,1
normal,aborto,Undirected,1
vuelve,dirigir,Undirected,17
dirigir,marcelo,Undirected,5
habría,sueldos,Undirected,1
sueldos,selección,Undirected,1
libertad,deriva,Undirected,1
deriva,nutre,Undirected,1
nutre,cooperación,Undirected,1
cooperación,voluntaria,Undirected,1
voluntaria,competencia,Undirected,1
competencia,presentes,Undirected,1
presentes,naturaleza,Undirected,1
naturaleza,vida,Undirected,1
vida,conocemos,Undirected,1
conocemos,imponer,Undirected,1
imponer,cooperación,Undirected,1
cooperación,obligatoria,Undirected,2
obligatoria,igualdad,Undirected,2
igualdad,requiere,Undirected,1
requiere,fuerza,Undirected,1
objetivo,imponer,Undirected,1
imponer,absoluta,Undirected,1
absoluta,cooperación,Undirected,1
igualdad,falta,Undirected,1
falta,fuerza,Undirected,1
fuerza,absolutos,Undirected,1
absolutos,desarrollarse,Undirected,1
desarrollarse,técnica,Undirected,1
técnica,sofisticación,Undirected,1
años,psoe,Undirected,1
psoe,pedro,Undirected,1
pedro,sánchez,Undirected,18
sánchez,pp,Undirected,5
pp,colaborador,Undirected,1
colaborador,necesario,Undirected,1
necesario,tendremos,Undirected,1
tendremos,zapatero,Undirected,1
zapatero,cumpliendo,Undirected,1
cumpliendo,sueño,Undirected,1
sueño,entregar,Undirected,1
entregar,media,Undirected,1
media,españa,Undirected,3
españa,marruecos,Undirected,1
vox,cambiar,Undirected,3
cambiar,políticas,Undirected,1
políticas,izquierda,Undirected,1
izquierda,pp,Undirected,6
pp,cambio,Undirected,1
cambio,mantenerlas,Undirected,1
mantenerlas,políticas,Undirected,1
políticas,partido,Undirected,1
partido,globalista,Undirected,1
globalista,ley,Undirected,1
ley,cifuentes,Undirected,1
cifuentes,trans,Undirected,1
trans,lees,Undirected,1
lees,crees,Undirected,1
crees,psoe,Undirected,1
psoe,cam,Undirected,1
cam,pp,Undirected,1
salud,república,Undirected,1
podemitas,xd,Undirected,1
voto,verde,Undirected,2
verde,esperanza,Undirected,2
esperanza,vox,Undirected,2
vox,únicos,Undirected,1
únicos,frente,Undirected,1
frente,lucen,Undirected,1
lucen,orgullo,Undirected,2
orgullo,bandera,Undirected,1
bandera,raices,Undirected,1
raices,patria,Undirected,1
patria,espero,Undirected,1
espero,gobiernen,Undirected,1
gobiernen,vuelvan,Undirected,1
vuelvan,resto,Undirected,1
resto,politicos,Undirected,1
pp,vota,Undirected,2
vota,resolución,Undirected,2
resolución,eurocámara,Undirected,2
eurocámara,apunta,Undirected,2
apunta,marruecos,Undirected,2
marruecos,trama,Undirected,2
trama,sobornos,Undirected,2
sobornos,vía,Undirected,2
problema,munológico,Undirected,1
munológico,hijaputez,Undirected,1
hijaputez,congénita,Undirected,1
violencia,vicaria,Undirected,1
vicaria,política,Undirected,1
jugando,dictadores,Undirected,1
gallardo,pity,Undirected,36
pity,ronaldo,Undirected,2
ronaldo,lindo,Undirected,1
lindo,partido,Undirected,1
partido,leyendas,Undirected,1
dificultad,hijos,Undirected,2
hijos,estudien,Undirected,2
estudien,cataluña,Undirected,1
basta,cifras,Undirected,1
cifras,abortos,Undirected,1
abortos,años,Undirected,1
años,legalización,Undirected,1
legalización,posterior,Undirected,1
posterior,aumento,Undirected,1
aumento,exponencial,Undirected,1
exponencial,intuir,Undirected,1
intuir,anterioridad,Undirected,1
anterioridad,practicaban,Undirected,1
sanchez,paro,Undirected,1
paro,pp,Undirected,1
pp,sanchez,Undirected,4
sanchez,precio,Undirected,1
precio,energía,Undirected,1
energía,pp,Undirected,1
sanchez,legislaturas,Undirected,1
legislaturas,pge,Undirected,1
pge,pp,Undirected,1
sanchez,afiliación,Undirected,1
afiliación,ss,Undirected,1
ss,pp,Undirected,1
sanchez,referemdums,Undirected,1
referemdums,ilegales,Undirected,1
ilegales,pp,Undirected,1
perra,abandona,Undirected,1
abandona,cachorro,Undirected,1
cachorro,palabra,Undirected,1
palabra,perra,Undirected,1
perra,queda,Undirected,1
queda,qué,Undirected,1
qué,clase,Undirected,1
clase,loc,Undirected,1
loc,gente,Undirected,1
cosa,espabilado,Undirected,1
espabilado,cojones,Undirected,1
cojones,gente,Undirected,1
gente,vox,Undirected,5
vox,ciudadanos,Undirected,2
ciudadanos,pp,Undirected,1
pp,sale,Undirected,1
sale,dinero,Undirected,1
dinero,ayudan,Undirected,1
meo,pp,Undirected,1
pp,luchando,Undirected,1
luchando,blanqueo,Undirected,1
blanqueo,podían,Undirected,1
podían,empezar,Undirected,1
empezar,comisiones,Undirected,1
comisiones,hermanisimo,Undirected,1
asesinos,mafiosos,Undirected,1
mafiosos,contrabandistas,Undirected,1
contrabandistas,puteros,Undirected,1
puteros,maltratadores,Undirected,1
maltratadores,anda,Undirected,1
anda,juego,Undirected,1
juego,entienden,Undirected,1
elites,aprovechan,Undirected,1
aprovechan,pueblo,Undirected,1
pueblo,mayormente,Undirected,1
mayormente,gusta,Undirected,1
gusta,morbo,Undirected,1
morbo,hipocresia,Undirected,1
hipocresia,conciencia,Undirected,1
conciencia,mirad,Undirected,1
mirad,francia,Undirected,1
francia,huelgas,Undirected,1
huelgas,decimos,Undirected,1
decimos,pio,Undirected,1
años,sufriendo,Undirected,1
sufriendo,frankenstein,Undirected,1
frankenstein,sánchez,Undirected,1
crece,aprobación,Undirected,4
aprobación,ciudadana,Undirected,4
ciudadana,gobernador,Undirected,4
gobernador,ricardo,Undirected,5
ricardo,gallardo,Undirected,8
gallardo,cardona,Undirected,6
cardona,slp,Undirected,4
slp,economista,Undirected,4
pp,lpb,Undirected,1
lpb,votre,Undirected,1
votre,tl,Undirected,1
cosas,quiero,Undirected,1
quiero,presidente,Undirected,1
señora,deje,Undirected,1
deje,desearle,Undirected,1
desearle,muerte,Undirected,1
muerte,suegro,Undirected,1
suegro,nota,Undirected,1
sigan,castilla,Undirected,1
león,ppeijóo,Undirected,1
ppeijóo,pparrake,Undirected,1
pparrake,impputacion,Undirected,1
impputacion,ppodridos,Undirected,1
ppodridos,po,Undirected,1
po,financiación,Undirected,1
financiación,ilegal,Undirected,2
ilegal,mañueco,Undirected,1
mañueco,salamanca,Undirected,1
salamanca,abre,Undirected,1
abre,frente,Undirected,1
frente,castilla,Undirected,1
león,pp,Undirected,2
pp,feijóo,Undirected,4
feijóo,vía,Undirected,1
chanchez,vote,Undirected,1
vote,txapote,Undirected,1
txapote,pp,Undirected,1
pp,m,Undirected,1
ciudadanos,subiendo,Undirected,1
subiendo,único,Undirected,1
único,subido,Undirected,1
subido,alcohol,Undirected,1
alcohol,cabeza,Undirected,1
partido,messi,Undirected,5
messi,cristiano,Undirected,27
cristiano,dirigir,Undirected,1
gallardo,jugar,Undirected,5
jugar,pity,Undirected,1
pity,jajsbajjsjsbsks,Undirected,1
gallardo,juega,Undirected,7
juega,zuculini,Undirected,3
messi,neymar,Undirected,25
neymar,mbappé,Undirected,11
mbappé,gallardo,Undirected,3
gallardo,vs,Undirected,8
vs,cristiano,Undirected,22
cristiano,pity,Undirected,11
martínez,chico,Undirected,2
chico,pes,Undirected,2
pes,moviendo,Undirected,2
moviendo,jugadores,Undirected,2
jugadores,show,Undirected,2
show,time,Undirected,2
curiosamente,suben,Undirected,1
suben,encuesta,Undirected,1
encuesta,andalucía,Undirected,1
andalucía,siga,Undirected,1
siga,soñando,Undirected,2
flashero,encanta,Undirected,1
pity,años,Undirected,2
recuerda,discurso,Undirected,1
discurso,alejandro,Undirected,1
alejandro,cao,Undirected,1
cao,benos,Undirected,1
benos,conferencias,Undirected,1
conferencias,piensas,Undirected,1
piensas,actuas,Undirected,1
actuas,facha,Undirected,1
facha,pensamiento,Undirected,1
pensamiento,unico,Undirected,1
unico,vas,Undirected,1
vas,corea,Undirected,1
corea,norte,Undirected,2
norte,vivir,Undirected,1
vivir,hipotecas,Undirected,1
hipotecas,alquileres,Undirected,1
quiero,pensar,Undirected,4
pensar,dirías,Undirected,1
dirías,hubiera,Undirected,1
hubiera,sucedido,Undirected,1
sucedido,revés,Undirected,1
revés,favor,Undirected,1
favor,preparación,Undirected,1
preparación,policías,Undirected,1
policías,defensa,Undirected,1
defensa,personal,Undirected,1
personal,defensa,Undirected,1
defensa,inmovilizacion,Undirected,1
inmovilizacion,ejemplo,Undirected,1
ejemplo,utilizar,Undirected,1
utilizar,suceso,Undirected,1
suceso,determinado,Undirected,1
determinado,voten,Undirected,1
voten,partido,Undirected,1
partido,vox,Undirected,3
falla,forma,Undirected,1
forma,escribir,Undirected,1
escribir,faltas,Undirected,1
faltas,ortografía,Undirected,1
ortografía,vox,Undirected,1
protocolo,box,Undirected,1
box,retrasa,Undirected,1
retrasa,coherencia,Undirected,1
coherencia,retrasados,Undirected,1
retrasados,llega,Undirected,1
llega,llega,Undirected,1
llega,bravuconada,Undirected,1
bravuconada,hueca,Undirected,1
hueca,bocamierda,Undirected,1
bocamierda,abascal,Undirected,1
abascal,moción,Undirected,1
censura,subasta,Undirected,1
subasta,ebay,Undirected,1
equipo,lleno,Undirected,1
lleno,mujeres,Undirected,1
