Source,Target,Type,Weight
asesinas,feminazis,Undirected,1
feminazis,trapo,Undirected,1
trapo,verde,Undirected,1
verde,aborteras,Undirected,1
aborteras,hdp,Undirected,1
hdp,kirchneristas,Undirected,1
kirchneristas,justiciaporluciodupuy,Undirected,1
profesión,desconocer,Undirected,1
desconocer,dura,Undirected,1
dura,realidad,Undirected,1
realidad,juzgados,Undirected,1
juzgados,pasa,Undirected,1
pasa,profesiones,Undirected,1
profesiones,creen,Undirected,1
creen,declaraciones,Undirected,1
declaraciones,culpa,Undirected,1
culpa,miserables,Undirected,1
miserables,violadores,Undirected,1
violadores,vale,Undirected,1
vale,ganar,Undirected,1
ganar,dinero,Undirected,2
dinero,fama,Undirected,1
votan,favor,Undirected,1
favor,restricciones,Undirected,1
aborto,armas,Undirected,1
armas,entiende,Undirected,1
escondidos,vista,Undirected,1
jajaja,extraño,Undirected,1
extraño,comentario,Undirected,1
comentario,viniendo,Undirected,1
viniendo,quedo,Undirected,1
quedo,lealtad,Undirected,1
conclusión,condenas,Undirected,1
condenas,golpes,Undirected,1
golpes,vizcarra,Undirected,1
vox,formas,Undirected,1
formas,serio,Undirected,1
serio,problema,Undirected,1
problema,decisiones,Undirected,1
decisiones,niñatos,Undirected,1
niñatos,tumbar,Undirected,1
tumbar,presupuestos,Undirected,1
presupuestos,iban,Undirected,1
iban,atraer,Undirected,1
atraer,tanta,Undirected,1
tanta,inversión,Undirected,1
inversión,empleos,Undirected,1
empleos,ley,Undirected,1
trans,ocurre,Undirected,1
igualdad,gobierno,Undirected,1
gobierno,pensionado,Undirected,1
pensionado,jubilado,Undirected,1
jubilado,aaaaah,Undirected,1
aaaaah,público,Undirected,1
público,muera,Undirected,1
muera,hambre,Undirected,1
hambre,igualdad,Undirected,1
igualdad,responda,Undirected,1
responda,sr,Undirected,1
vox,miedo,Undirected,24
miedo,trabajar,Undirected,24
reformareis,invotables,Undirected,1
gustan,abusos,Undirected,1
gobierno,dictatorial,Undirected,2
dictatorial,inepto,Undirected,2
inepto,historia,Undirected,2
historia,democratica,Undirected,2
democratica,españa,Undirected,2
españa,psoe,Undirected,3
psoe,gobierno,Undirected,2
gobierno,perpetrado,Undirected,2
perpetrado,traicion,Undirected,2
traicion,pueblo,Undirected,2
español,demostrado,Undirected,2
demostrado,arrodillamiento,Undirected,2
arrodillamiento,golpistas,Undirected,2
política,española,Undirected,2
española,escoria,Undirected,1
escoria,inhumana,Undirected,1
periodista,dominio,Undirected,1
dominio,lenguaje,Undirected,1
cacete,desonestidade,Undirected,1
desonestidade,intelectual,Undirected,1
intelectual,sua,Undirected,1
sua,agora,Undirected,1
agora,hein,Undirected,1
enorme,rocío,Undirected,1
rocío,apabullante,Undirected,1
apabullante,encerrona,Undirected,1
manifestación,ministerio,Undirected,1
igualdad,exigir,Undirected,1
exigir,cierre,Undirected,1
cierre,chiringuito,Undirected,1
inútil,via,Undirected,1
gustazo,vivir,Undirected,1
vivir,sopa,Undirected,1
sopa,boba,Undirected,1
boba,has,Undirected,1
has,pegado,Undirected,1
pegado,sello,Undirected,1
sello,wapa,Undirected,1
entiendo,sale,Undirected,1
sale,carnaval,Undirected,1
juventud,idiota,Undirected,1
idiota,edad,Undirected,1
edad,humano,Undirected,1
humano,evidencia,Undirected,1
evidencia,científica,Undirected,3
científica,vida,Undirected,3
humana,empieza,Undirected,3
empieza,momento,Undirected,3
momento,fecundación,Undirected,3
fecundación,aparición,Undirected,3
aparición,cigoto,Undirected,3
cigoto,cigoto,Undirected,3
cigoto,resultado,Undirected,3
resultado,unión,Undirected,3
unión,células,Undirected,3
células,germinales,Undirected,3
cobardes,pp,Undirected,1
pp,cogen,Undirected,1
cogen,papel,Undirected,1
papel,fumar,Undirected,1
seguir,ayuntamiento,Undirected,1
ayuntamiento,puesto,Undirected,1
puesto,redes,Undirected,1
redes,variar,Undirected,1
pasa,empoderada,Undirected,1
empoderada,luchona,Undirected,1
luchona,quieres,Undirected,1
quieres,jugar,Undirected,1
jugar,guantazos,Undirected,1
guantazos,aguantate,Undirected,1
pp,dé,Undirected,1
dé,euros,Undirected,1
euros,criticando,Undirected,1
lógico,alimañas,Undirected,1
alimañas,excluye,Undirected,1
payaso,estúpido,Undirected,1
estúpido,sanidad,Undirected,1
sanidad,transferida,Undirected,1
transferida,comunidades,Undirected,1
autónomas,listas,Undirected,1
espera,ayuno,Undirected,1
ayuno,madrid,Undirected,1
madrid,moreno,Undirected,1
moreno,andalucia,Undirected,1
andalucia,mañueco,Undirected,1
mañueco,cyl,Undirected,1
cyl,galicia,Undirected,1
galicia,dejaste,Undirected,1
dejaste,gobernaba,Undirected,1
gobernaba,comunidad,Undirected,1
comunidad,zoquete,Undirected,1
zoquete,ruin,Undirected,1
ruin,déspota,Undirected,1
déspota,inept,Undirected,1
afinando,vocabulario,Undirected,1
vocabulario,creer,Undirected,1
creer,cosa,Undirected,1
cosa,autoengaño,Undirected,1
dejen,torturar,Undirected,1
torturar,mujeres,Undirected,1
mujeres,llegar,Undirected,1
llegar,terrible,Undirected,1
terrible,dolorosa,Undirected,1
dolorosa,decisión,Undirected,1
decisión,abortar,Undirected,1
abortar,mes,Undirected,1
mes,eliminar,Undirected,1
eliminar,coágulo,Undirected,1
coágulo,sangre,Undirected,1
sangre,hora,Undirected,1
hora,qu,Undirected,1
qu,dejen,Undirected,1
dejen,traumatizar,Undirected,1
traumatizar,mujeres,Undirected,1
mujeres,dictadorcitos,Undirected,1
dictadorcitos,gallardo,Undirected,1
gallardo,dimisión,Undirected,1
federico,vox,Undirected,1
vox,existiría,Undirected,1
cúpula,estáy,Undirected,1
estáy,incierto,Undirected,1
incierto,exministros,Undirected,1
exministros,información,Undirected,1
información,intereses,Undirected,1
intereses,políticos,Undirected,1
políticos,exministros,Undirected,1
exministros,psoe,Undirected,1
psoe,antigua,Undirected,1
antigua,cúpula,Undirected,1
cúpula,prisa,Undirected,1
prisa,firman,Undirected,1
firman,escrito,Undirected,1
escrito,política,Undirected,1
política,sánchez,Undirected,1
sabíais,puso,Undirected,2
puso,sobrino,Undirected,2
sobrino,consejero,Undirected,2
consejero,bankia,Undirected,2
pd,odio,Undirected,1
odio,vox,Undirected,1
vox,momento,Undirected,3
momento,tonterías,Undirected,1
tonterías,abierto,Undirected,1
abierto,debate,Undirected,1
pido,dejes,Undirected,1
dejes,representar,Undirected,1
representar,región,Undirected,1
región,das,Undirected,1
das,vergüenza,Undirected,1
vox,obligaba,Undirected,1
obligaba,pp,Undirected,1
pp,aplicar,Undirected,1
aplicar,protocolo,Undirected,1
protocolo,firmado,Undirected,1
firmado,consejero,Undirected,1
sanidad,vicepresidente,Undirected,1
vicepresidente,tenéis,Undirected,1
tenéis,vergüenza,Undirected,2
feijóo,carga,Undirected,1
carga,duramente,Undirected,1
vox,confirman,Undirected,1
sumen,distintas,Undirected,1
distintas,caretas,Undirected,1
ridícula,idea,Undirected,1
idea,volver,Undirected,1
volver,verte,Undirected,1
verte,rosa,Undirected,1
status,stupid,Undirected,1
stupid,generaciones,Undirected,1
generaciones,digitales,Undirected,1
digitales,moda,Undirected,1
moda,lorear,Undirected,1
lorear,profundizar,Undirected,1
profundizar,filosóficos,Undirected,1
filosóficos,conocimiento,Undirected,1
conocimiento,vida,Undirected,1
vida,trascendente,Undirected,1
trascendente,mujer,Undirected,1
mujer,conejo,Undirected,1
trabajar,cobardes,Undirected,23
dcho,mujeres,Undirected,1
embarazadas,sabrían,Undirected,1
suben,pobres,Undirected,1
gorda,grosera,Undirected,1
grosera,fea,Undirected,1
fea,maleducada,Undirected,1
maleducada,deje,Undirected,1
falta,cerebro,Undirected,1
cerebro,atrofiado,Undirected,1
queda,medalla,Undirected,1
medalla,gente,Undirected,1
gente,critican,Undirected,1
critican,trapitos,Undirected,1
trapitos,lucen,Undirected,1
orgullo,gallardo,Undirected,1
gallardo,nobles,Undirected,1
nobles,insignias,Undirected,1
insignias,viene,Undirected,1
viene,llamando,Undirected,1
llamando,sectarios,Undirected,1
cuestión,gestor,Undirected,1
gestor,sistema,Undirected,1
sistema,montado,Undirected,1
montado,favorece,Undirected,1
favorece,aparición,Undirected,1
aparición,deja,Undirected,1
deja,margen,Undirected,1
margen,real,Undirected,1
real,central,Undirected,1
central,garantizar,Undirected,2
garantizar,igualdad,Undirected,3
igualdad,ciudadanos,Undirected,1
ciudadanos,independientemente,Undirected,1
independientemente,origen,Undirected,1
mamarse,tranca,Undirected,1
tranca,corresponda,Undirected,1
pasando,desapercibido,Undirected,1
desapercibido,pp,Undirected,1
pp,contratado,Undirected,1
contratado,diferido,Undirected,1
diferido,diputados,Undirected,1
diputados,tránsfugas,Undirected,1
tránsfugas,upn,Undirected,1
upn,votaron,Undirected,1
votaron,reforma,Undirected,1
laboral,ejemplo,Undirected,1
ejemplo,política,Undirected,1
has,vivido,Undirected,1
vivido,aborto,Undirected,1
aborto,conoces,Undirected,1
conoces,abortado,Undirected,1
abortado,evidente,Undirected,1
evidente,idea,Undirected,1
idea,tienes,Undirected,1
tienes,también,Undirected,1
también,evidente,Undirected,1
evidente,lees,Undirected,1
lees,escribo,Undirected,1
escribo,quieres,Undirected,1
quieres,discutir,Undirected,1
discutir,diga,Undirected,1
diga,termino,Undirected,1
termino,chao,Undirected,1
cierran,chiringuito,Undirected,1
chiringuito,banda,Undirected,1
banda,esradio,Undirected,1
tardado,salir,Undirected,1
salir,argumento,Undirected,1
argumento,único,Undirected,1
único,tío,Undirected,1
tío,autoridad,Undirected,1
autoridad,arnold,Undirected,1
arnold,schwarzenegger,Undirected,1
schwarzenegger,embarazado,Undirected,1
embarazado,resto,Undirected,1
resto,callar,Undirected,1
adivinen,vuelve,Undirected,1
vuelve,trabajar,Undirected,1
trabajar,justo,Undirected,1
justo,juegan,Undirected,1
juegan,cristiano,Undirected,1
cristiano,dirige,Undirected,1
tapar,cosa,Undirected,1
contraria,escurrir,Undirected,1
bulto,parecido,Undirected,1
parecido,mafias,Undirected,1
mafias,pululan,Undirected,1
pululan,diario,Undirected,1
diario,mundo,Undirected,1
mundo,llamado,Undirected,1
llamado,partido,Undirected,1
pp,ésto,Undirected,1
ésto,partido,Undirected,1
partido,pedazos,Undirected,1
pedazos,reparten,Undirected,1
reparten,ida,Undirected,1
ida,feijoo,Undirected,1
feijoo,muñeco,Undirected,1
muñeco,beodo,Undirected,1
beodo,vox,Undirected,1
mañueco,mete,Undirected,1
mete,callejón,Undirected,1
callejón,salida,Undirected,1
salida,asfixiado,Undirected,1
asfixiado,vox,Undirected,1
vox,año,Undirected,1
año,romper,Undirected,1
romper,pacto,Undirected,1
pacto,ciudadanos,Undirected,1
losantos,arrogante,Undirected,1
arrogante,arrogancia,Undirected,1
arrogancia,enfermedad,Undirected,1
enfermedad,síntoma,Undirected,1
síntoma,enfermedad,Undirected,1
enfermedad,egotitis,Undirected,1
egotitis,humildicina,Undirected,1
humildicina,casos,Undirected,1
casos,agudos,Undirected,1
agudos,humildicina,Undirected,1
humildicina,liberación,Undirected,1
liberación,prolongada,Undirected,1
prolongada,guste,Undirected,1
guste,humildicina,Undirected,1
humildicina,preparadas,Undirected,1
preparadas,tazas,Undirected,1
federico,molestaba,Undirected,1
molestaba,rocío,Undirected,1
monasterio,criticara,Undirected,1
criticara,fichaje,Undirected,1
fichaje,afín,Undirected,1
afín,bildu,Undirected,1
bildu,borja,Undirected,1
semper,pp,Undirected,1
pp,delirio,Undirected,1
delirio,federico,Undirected,1
federico,criticó,Undirected,1
criticó,vox,Undirected,1
vox,apoyará,Undirected,1
apoyará,investigaciones,Undirected,1
investigaciones,corruptelas,Undirected,1
corruptelas,ayuso,Undirected,1
federico,quería,Undirected,1
quería,monasterio,Undirected,1
monasterio,pudiera,Undirected,1
pudiera,criticar,Undirected,1
decadencia,humano,Undirected,1
humano,asesinando,Undirected,1
asesinando,hijo,Undirected,1
par,minutos,Undirected,1
minutos,gallardo,Undirected,2
cristiano,messi,Undirected,5
messi,kjjj,Undirected,1
encanta,ley,Undirected,1
trans,mujer,Undirected,1
mujer,ponga,Undirected,1
ponga,güevos,Undirected,1
güevos,aprovecharme,Undirected,1
aprovecharme,ventaja,Undirected,1
ventaja,femenina,Undirected,1
femenina,libertad,Undirected,1
cantais,subvención,Undirected,1
subvención,aprieta,Undirected,1
aprieta,lares,Undirected,1
gallardo,puso,Undirected,3
mala,ministra,Undirected,1
ministra,orb,Undirected,1
orb,ah,Undirected,1
ah,ministra,Undirected,1
ministra,españa,Undirected,2
aliado,morena,Undirected,1
morena,narco,Undirected,1
narco,jr,Undirected,1
jr,ricardo,Undirected,1
gallardo,san,Undirected,1
luis,potosí,Undirected,1
potosí,pagar,Undirected,1
pagar,cuotas,Undirected,1
cuotas,imss,Undirected,1
imss,trabajadores,Undirected,1
trabajadores,pasándose,Undirected,1
pasándose,arco,Undirected,1
triunfo,años,Undirected,1
años,luchas,Undirected,1
luchas,conquistas,Undirected,1
conquistas,laborales,Undirected,1
laborales,calidad,Undirected,1
calidad,social,Undirected,1
social,aliados,Undirected,1
gallardo,vos,Undirected,1
vos,dispuesta,Undirected,1
dispuesta,gritar,Undirected,1
gritar,goles,Undirected,1
goles,cristiano,Undirected,1
cristiano,ojalá,Undirected,1
ojalá,ganen,Undirected,1
ganen,goles,Undirected,1
joder,vox,Undirected,1
vox,resulta,Undirected,1
resulta,amigos,Undirected,1
amigos,dinero,Undirected,1
digo,revés,Undirected,1
revés,acompañados,Undirected,1
video,amistoso,Undirected,1
amistoso,gallardo,Undirected,1
estadio,combinado,Undirected,1
combinado,hilal,Undirected,1
hilal,nassr,Undirected,1
nassr,muñeco,Undirected,2
muñeco,dt,Undirected,2
dt,listo,Undirected,1
listo,duelo,Undirected,1
llevo,militando,Undirected,1
militando,años,Undirected,2
años,nota,Undirected,1
nota,quedado,Undirected,1
quedado,persona,Undirected,1
leyes,saca,Undirected,1
saca,ministerio,Undirected,1
igualdad,ayudan,Undirected,1
habría,españa,Undirected,1
llamarle,pablo,Undirected,1
iglesias,llamaremos,Undirected,1
llamaremos,hijo,Undirected,1
terrorista,mira,Undirected,1
mira,queda,Undirected,1
queda,nombre,Undirected,1
nombre,titulo,Undirected,1
titulo,novela,Undirected,1
novela,stephen,Undirected,1
stephen,king,Undirected,1
king,miedo,Undirected,1
vergüenza,nacional,Undirected,1
nacional,sinónimo,Undirected,1
sinónimo,traición,Undirected,1
traición,cobardía,Undirected,1
cobardía,miseria,Undirected,1
miseria,objetivo,Undirected,1
objetivo,trabajar,Undirected,1
trabajar,derribar,Undirected,1
derribar,psoe,Undirected,1
psoe,sustenta,Undirected,1
sustenta,partido,Undirected,1
partido,feijoo,Undirected,1
popular,merece,Undirected,1
merece,desprecio,Undirected,1
desprecio,mundo,Undirected,1
mundo,mayorías,Undirected,1
mayorías,absolutísimas,Undirected,1
absolutísimas,cambiaron,Undirected,1
cambiaron,absolutamente,Undirected,1
absolutamente,crearon,Undirected,1
crearon,televisiones,Undirected,1
televisiones,izquierda,Undirected,1
león,gracias,Undirected,1
gobierno,retrocede,Undirected,1
retrocede,feudalismo,Undirected,1
obvio,qué,Undirected,1
qué,pasamos,Undirected,1
pasamos,mañana,Undirected,1
mañana,escuchando,Undirected,1
escuchando,tema,Undirected,1
tema,shakira,Undirected,1
shakira,porq,Undirected,1
porq,mujeres,Undirected,1
mujeres,lloran,Undirected,1
lloran,mujeres,Undirected,1
mujeres,facturan,Undirected,1
facturan,cobro,Undirected,1
cobro,qué,Undirected,1
qué,tomando,Undirected,1
tomando,cafe,Undirected,1
trans,atentado,Undirected,1
atentado,directo,Undirected,1
directo,derechos,Undirected,1
mujer,mujer,Undirected,2
mujer,reivindica,Undirected,1
reivindica,lucha,Undirected,1
lucha,igualdad,Undirected,1
miriam,espera,Undirected,1
espera,igualdad,Undirected,1
condiciones,eterno,Undirected,1
grave,exista,Undirected,1
exista,partido,Undirected,1
partido,oponga,Undirected,1
oponga,asesinato,Undirected,1
asesinato,nonnatos,Undirected,1
nonnatos,estás,Undirected,1
estás,cabra,Undirected,1
cabra,irene,Undirected,1
obviamente,pecado,Undirected,1
pecado,sexual,Undirected,2
sexual,crearon,Undirected,1
crearon,anticonceptivos,Undirected,1
anticonceptivos,leyes,Undirected,1
leyes,aborto,Undirected,1
aborto,también,Undirected,1
también,enfermedades,Undirected,1
enfermedades,transmisión,Undirected,1
transmisión,sexual,Undirected,1
sexual,forma,Undirected,1
forma,pecado,Undirected,1
sexual,trae,Undirected,1
trae,consecuencias,Undirected,1
húngara,garantía,Undirected,1
garantía,demócrata,Undirected,1
demócrata,impresentable,Undirected,1
capaces,confiar,Undirected,1
confiar,sánchez,Undirected,3
pobre,viejita,Undirected,1
viejita,cuarto,Undirected,1
cuarto,hora,Undirected,1
hora,saliendo,Undirected,1
saliendo,congreso,Undirected,1
congreso,reconocera,Undirected,1
demuestra,débil,Undirected,1
débil,cobarde,Undirected,1
cobarde,posturas,Undirected,1
posturas,claras,Undirected,1
claras,decididas,Undirected,2
alienigena,vientre,Undirected,1
vientre,batidora,Undirected,1
batidora,balón,Undirected,1
balón,gente,Undirected,1
baja,europa,Undirected,2
europa,record,Undirected,1
record,trabajadores,Undirected,1
trabajadores,pp,Undirected,1
pp,estaríamos,Undirected,1
estaríamos,miseria,Undirected,1
tristeza,embarazada,Undirected,1
embarazada,debería,Undirected,1
debería,pendiente,Undirected,1
habría,considerar,Undirected,1
considerar,seriamente,Undirected,1
seriamente,legislar,Undirected,1
legislar,aborto,Undirected,1
aborto,retroactivo,Undirected,2
retroactivo,feminazis,Undirected,1
feminazis,abortantes,Undirected,1
fomenta,aborto,Undirected,1
aborto,fomenta,Undirected,1
fomenta,inmigracion,Undirected,1
inmigracion,masiva,Undirected,1
masiva,inadaptable,Undirected,1
inadaptable,receptora,Undirected,1
receptora,ayudas,Undirected,1
ayudas,niegan,Undirected,1
niegan,españoles,Undirected,1
españoles,sacan,Undirected,1
sacan,dinero,Undirected,1
dinero,país,Undirected,1
país,vía,Undirected,1
vía,remesas,Undirected,1
remesas,sumale,Undirected,1
sumale,elefantiasico,Undirected,1
elefantiasico,tienes,Undirected,1
tienes,receta,Undirected,1
receta,ruina,Undirected,1
ley,silencio,Undirected,1
silencio,estilo,Undirected,1
estilo,fidel,Undirected,1
fidel,castro,Undirected,1
castro,chaves,Undirected,1
chaves,putin,Undirected,1
putin,etc,Undirected,1
ah,bruselas,Undirected,1
bruselas,aplaudir,Undirected,1
aplaudir,esté,Undirected,1
esté,rebajando,Undirected,1
violadores,bravo,Undirected,1
bravo,trabajo,Undirected,1
fuerte,feministas,Undirected,1
feministas,digan,Undirected,1
digan,mu,Undirected,1
mu,desigualdad,Undirected,1
desigualdad,hombres,Undirected,1
hombres,llevados,Undirected,1
llevados,fuerza,Undirected,1
fuerza,combatir,Undirected,1
combatir,mujeres,Undirected,1
mujeres,salvan,Undirected,1
salvan,veo,Undirected,1
veo,fallos,Undirected,1
fallos,ministerio,Undirected,1
igualdad,calladitas,Undirected,1
pública,privada,Undirected,1
privada,derecho,Undirected,1
abortar,mujeres,Undirected,1
mujeres,adineradas,Undirected,1
bienvenidos,dictadura,Undirected,1
alguien,interesara,Undirected,1
interesara,sacar,Undirected,1
sacar,fascículos,Undirected,1
fascículos,semanales,Undirected,1
semanales,mensuales,Undirected,1
mensuales,historia,Undirected,1
historia,robado,Undirected,1
robado,desfalcado,Undirected,1
desfalcado,jodida,Undirected,1
jodida,organización,Undirected,1
criminal,gusto,Undirected,1
gusto,apunto,Undirected,1
apunto,crowdfunding,Undirected,1
crowdfunding,financiar,Undirected,1
financiar,proyecto,Undirected,1
proyecto,utopia,Undirected,1
nazis,cuidao,Undirected,1
irene,acuérdate,Undirected,1
acuérdate,feto,Undirected,1
feto,madre,Undirected,1
madre,tiró,Undirected,1
tiró,basura,Undirected,1
basura,mala,Undirected,1
mala,pata,Undirected,1
pata,tuviste,Undirected,1
tuviste,suerte,Undirected,1
suerte,corresponde,Undirected,1
finalmente,poniendo,Undirected,1
poniendo,redes,Undirected,1
redes,agua,Undirected,1
agua,potable,Undirected,1
potable,cloacas,Undirected,1
cloacas,poniendo,Undirected,1
poniendo,tachos,Undirected,1
tachos,basura,Undirected,1
basura,bancos,Undirected,1
bancos,plaza,Undirected,1
plaza,rosados,Undirected,1
tc,notoria,Undirected,1
notoria,vinculación,Undirected,1
acá,definiendo,Undirected,1
definiendo,liga,Undirected,1
liga,femenina,Undirected,1
femenina,lejos,Undirected,1
lejos,fútbol,Undirected,1
fútbol,años,Undirected,1
años,luz,Undirected,2
luz,equidad,Undirected,1
federico,votado,Undirected,1
vox,intenta,Undirected,1
intenta,creer,Undirected,1
creer,gente,Undirected,1
vota,desencantada,Undirected,1
desencantada,nonoscallaran,Undirected,1
nonoscallaran,soloquedavox,Undirected,1
leyendo,vicepresidenta,Undirected,1
vicepresidenta,eurocámara,Undirected,1
eurocámara,carga,Undirected,1
carga,propuesta,Undirected,1
vox,aborto,Undirected,1
aborto,sucede,Undirected,1
sucede,castilla,Undirected,1
león,recuerda,Undirected,1
recuerda,hungría,Undirected,1
hungría,orbán,Undirected,2
orbán,app,Undirected,1
sección,compromiso,Undirected,2
compromiso,fenin,Undirected,2
fenin,edición,Undirected,2
edición,revistafenin,Undirected,2
revistafenin,podrás,Undirected,2
podrás,actualidad,Undirected,2
actualidad,actividad,Undirected,2
actividad,federación,Undirected,2
federación,rse,Undirected,2
rse,ods,Undirected,2
ods,igualdad,Undirected,2
solidaridad,accede,Undirected,2
accede,directamente,Undirected,2
directamente,pdf,Undirected,2
pdf,online,Undirected,2
medios,informen,Undirected,1
informen,igualdad,Undirected,1
coraje,agujero,Undirected,1
agujero,negro,Undirected,1
negro,mierda,Undirected,1
mierda,gestión,Undirected,1
gestión,comer,Undirected,1
comer,vox,Undirected,1
vox,papas,Undirected,1
papas,mira,Undirected,1
mira,doy,Undirected,1
yoooo,campaña,Undirected,1
comunismo,soluciona,Undirected,1
soluciona,votandole,Undirected,1
votandole,polonia,Undirected,1
polonia,italia,Undirected,1
italia,hungria,Undirected,1
hungria,alemania,Undirected,1
alemania,camuflados,Undirected,1
camuflados,verdes,Undirected,1
verdes,comunismo,Undirected,1
comunismo,condenado,Undirected,1
condenado,ue,Undirected,1
ue,permite,Undirected,1
permite,presentarse,Undirected,1
sanidad,gobernada,Undirected,1
gobernada,pp,Undirected,1
andaluz,cita,Undirected,1
cita,resonancia,Undirected,1
resonancia,sábado,Undirected,1
sábado,madrugada,Undirected,1
coalición,pactos,Undirected,1
pactos,vox,Undirected,1
partido,mayoritario,Undirected,2
mayoritario,tomar,Undirected,1
decisiones,gallardo,Undirected,1
gallardo,cyl,Undirected,1
cyl,niñato,Undirected,1
niñato,política,Undirected,1
política,cyl,Undirected,1
cyl,patas,Undirected,1
patas,contar,Undirected,1
contar,pp,Undirected,1
elogios,qué,Undirected,1
qué,recibido,Undirected,1
recibido,labos,Undirected,1
labos,política,Undirected,1
política,económica,Undirected,1
económica,gobierno,Undirected,1
izquierdas,modelo,Undirected,1
modelo,ingles,Undirected,1
ingles,qué,Undirected,1
qué,estalló,Undirected,1
estalló,cara,Undirected,1
cara,qué,Undirected,1
qué,querias,Undirected,1
querias,mindundi,Undirected,1
quedando,ánimo,Undirected,1
ánimo,españa,Undirected,1
pido,cuidado,Undirected,1
cuidado,terrorista,Undirected,1
terrorista,ultra,Undirected,1
derecha,bruta,Undirected,1
bruta,achorada,Undirected,1
hora,arranca,Undirected,1
arranca,ayer,Undirected,1
ayer,leí,Undirected,1
leí,qué,Undirected,1
qué,ví,Undirected,1
leña,mono,Undirected,1
mono,saludos,Undirected,1
piénsalo,misielo,Undirected,1
misielo,suanzes,Undirected,1
suanzes,queda,Undirected,1
queda,embrague,Undirected,1
embrague,historia,Undirected,1
historia,echa,Undirected,1
echa,ruedo,Undirected,1
ruedo,oposición,Undirected,1
oposición,abogadas,Undirected,1
abogadas,lavando,Undirected,1
lavando,panamá,Undirected,1
panamá,primo,Undirected,1
primo,reina,Undirected,1
reina,mora,Undirected,1
mora,capitán,Undirected,1
capitán,pescanova,Undirected,1
pescanova,jefe,Undirected,1
jefe,campaña,Undirected,1
campaña,escorts,Undirected,1
escorts,chihuahuas,Undirected,1
chihuahuas,llamados,Undirected,1
llamados,kenzo,Undirected,1
pelas,extrema,Undirected,1
derecha,españolista,Undirected,1
españolista,portadora,Undirected,1
portadora,valores,Undirected,1
valores,eternos,Undirected,1
eternos,bolsillo,Undirected,1
bolsillo,diciendo,Undirected,1
diciendo,españa,Undirected,1
españa,rompe,Undirected,1
rompe,peta,Undirected,1
peta,favor,Undirected,1
favor,asimilar,Undirected,1
asimilar,galimatías,Undirected,1
galimatías,prats,Undirected,1
interés,cumpla,Undirected,1
fútbol,negocio,Undirected,1
negocio,ganar,Undirected,1
ganar,genere,Undirected,1
genere,chicas,Undirected,1
chicas,audiencia,Undirected,1
audiencia,tv,Undirected,1
tv,redes,Undirected,1
redes,venden,Undirected,1
venden,cantidad,Undirected,1
cantidad,entradas,Undirected,1
entradas,cobrar,Undirected,1
cobrar,audiencia,Undirected,1
audiencia,venden,Undirected,1
venden,tickets,Undirected,1
tickets,cobrar,Undirected,1
cobrar,qué,Undirected,1
qué,hombres,Undirected,1
dios,jueces,Undirected,1
magistrados,insisto,Undirected,1
insisto,enorme,Undirected,1
enorme,mayoría,Undirected,1
mayoría,rompiendo,Undirected,1
rompiendo,lomo,Undirected,1
lomo,justicia,Undirected,1
justicia,revolucionaria,Undirected,1
revolucionaria,digna,Undirected,1
digna,encuentran,Undirected,1
encuentran,chusma,Undirected,1
chusma,boga,Undirected,1
boga,ponen,Undirected,1
ponen,periódicos,Undirected,1
queda,corto,Undirected,1
dirás,cake,Undirected,1
cake,minuesa,Undirected,1
minuesa,javier,Undirected,1
javier,negre,Undirected,1
negre,intereconomia,Undirected,1
intereconomia,garcía,Undirected,1
garcía,isaac,Undirected,1
isaac,viven,Undirected,1
viven,aire,Undirected,1
aire,español,Undirected,1
español,sentimiento,Undirected,1
sentimiento,hacéis,Undirected,1
hacéis,gracia,Undirected,1
hable,payasos,Undirected,1
payasos,concejal,Undirected,1
concejal,ciudadanos,Undirected,1
ciudadanos,tela,Undirected,1
forma,magistral,Undirected,1
magistral,manejar,Undirected,1
manejar,callar,Undirected,1
callar,fulano,Undirected,1
fulano,bocón,Undirected,1
bocón,respeta,Undirected,1
respeta,participación,Undirected,1
participación,calma,Undirected,1
calma,paciencia,Undirected,1
paciencia,argumentos,Undirected,1
argumentos,correctos,Undirected,1
pp,pilucho,Undirected,1
derecho,información,Undirected,1
hora,ciudadanos,Undirected,1
ciudadanos,decidamos,Undirected,1
decidamos,sanidad,Undirected,1
pública,sanidad,Undirected,1
privada,tenerse,Undirected,1
tenerse,consecuencias,Undirected,1
consecuencias,sale,Undirected,1
sale,universal,Undirected,1
universal,pagar,Undirected,1
pagar,impuestos,Undirected,2
impuestos,justicia,Undirected,1
justicia,sale,Undirected,1
sale,privada,Undirected,1
privada,busque,Undirected,1
busque,vida,Undirected,1
vida,pagársela,Undirected,1
pagársela,pobre,Undirected,1
pobre,feliz,Undirected,1
recuerdo,balmaceda,Undirected,1
golpistas,estáis,Undirected,1
estáis,llorando,Undirected,1
llorando,extirpamos,Undirected,1
extirpamos,gobierno,Undirected,1
gobierno,podéis,Undirected,1
podéis,malversar,Undirected,1
malversar,llorad,Undirected,1
llorad,reventar,Undirected,1
reventar,escoria,Undirected,1
llamas,derecha,Undirected,1
derecha,supongo,Undirected,1
supongo,pp,Undirected,1
partido,socialdemócrata,Undirected,1
socialdemócrata,partido,Undirected,1
derechas,falta,Undirected,1
falta,explicar,Undirected,2
explicar,motivos,Undirected,1
