Source,Target,Type
transporte,público,Undirected
subcampeones,psg,Undirected
psg,demas,Undirected
demas,equipos,Undirected
equipos,duras,Undirected
duras,penas,Undirected
penas,jugarían,Undirected
jugarían,división,Undirected
división,argentina,Undirected
argentina,seas,Undirected
seas,campeón,Undirected
campeón,punta,Undirected
punta,penales,Undirected
penales,espero,Undirected
espero,jamas,Undirected
jamas,vida,Undirected
vida,hayas,Undirected
hayas,llamado,Undirected
llamado,penaldo,Undirected
penaldo,cristiano,Undirected
cristiano,seria,Undirected
seria,contradictorio,Undirected
isabel,trump,Undirected
trump,ayuso,Undirected
ayuso,pedro,Undirected
pedro,sánchez,Undirected
sánchez,continúa,Undirected
continúa,camino,Undirected
camino,intentar,Undirected
intentar,controlar,Undirected
controlar,justicia,Undirected
justicia,madrid,Undirected
madrid,mundo,Undirected
mundo,paralelo,Undirected
paralelo,vive,Undirected
vive,mujer,Undirected
mujer,pasa,Undirected
pasa,pp,Undirected
pp,corrupto,Undirected
corrupto,ultraderechista,Undirected
lamelonpedia,rebajas,Undirected
rebajas,derechos,Undirected
derechos,castilla,Undirected
castilla,león,Undirected
león,endulzados,Undirected
endulzados,pecorea,Undirected
pecorea,miel,Undirected
miel,lady,Undirected
lady,gaga,Undirected
gaga,moñeco,Undirected
moñeco,vs,Undirected
vs,derechos,Undirected
derechos,sexuales,Undirected
sexuales,reproductivos,Undirected
reproductivos,mujeres,Undirected
mujeres,alcaldable,Undirected
alcaldable,rural,Undirected
rural,elpote,Undirected
elpote,mario,Undirected
mario,domínguez,Undirected
domínguez,pecorea,Undirected
centro,reformista,Undirected
reformista,quieren,Undirected
quieren,entrar,Undirected
entrar,pactos,Undirected
señores,sayas,Undirected
sayas,adanero,Undirected
adanero,tardarán,Undirected
tardarán,arrepentirse,Undirected
arrepentirse,unido,Undirected
unido,futuro,Undirected
futuro,político,Undirected
político,pp,Undirected
izquierdas,pp,Undirected
pp,mundo,Undirected
mundo,reves,Undirected
valladolid,alcalde,Undirected
alcalde,valorar,Undirected
valorar,plan,Undirected
plan,risto,Undirected
risto,designación,Undirected
designación,medrano,Undirected
medrano,director,Undirected
director,campaña,Undirected
campaña,pp,Undirected
pacto,formación,Undirected
formación,gobierno,Undirected
gobierno,ataques,Undirected
ataques,sémper,Undirected
sémper,cronología,Undirected
cronología,protocolo,Undirected
protocolo,provida,Undirected
provida,acordado,Undirected
acordado,pp,Undirected
pp,vox,Undirected
vox,castilla,Undirected
castilla,león,Undirected
psoe,marruecos,Undirected
marruecos,pp,Undirected
pp,psoe,Undirected
psoe,simple,Undirected
azotes,pablo,Undirected
pablo,iglesias,Undirected
iglesias,igualdad,Undirected
igualdad,denuncia,Undirected
denuncia,violencia,Undirected
violencia,política,Undirected
política,género,Undirected
género,estrategia,Undirected
estrategia,estatal,Undirected
estatal,combatir,Undirected
combatir,violencias,Undirected
violencias,machistas,Undirected
machistas,pone,Undirected
pone,foco,Undirected
foco,críticas,Undirected
críticas,dirigentes,Undirected
dirigentes,políticos,Undirected
políticos,josé,Undirected
josé,rosado,Undirected
paciencia,orcas,Undirected
orcas,descerebradas,Undirected
freile,vox,Undirected
vox,camisetero,Undirected
camisetero,colmo,Undirected
colmo,partido,Undirected
partido,socialista,Undirected
falta,ciudadano,Undirected
ciudadano,español,Undirected
español,cultura,Undirected
cultura,catalana,Undirected
catalana,derecho,Undirected
derecho,aniquilada,Undirected
aniquilada,cultura,Undirected
cultura,lengua,Undirected
lengua,parlamento,Undirected
parlamento,existo,Undirected
existo,niega,Undirected
niega,representarme,Undirected
haciéndole,campaña,Undirected
campaña,pp,Undirected
pp,especialmente,Undirected
especialmente,ayuso,Undirected
hermoso,entretenido,Undirected
entretenido,libro,Undirected
libro,peligro,Undirected
peligro,cuerda,Undirected
cuerda,rosa,Undirected
rosa,montero,Undirected
montero,aborda,Undirected
aborda,anomalía,Undirected
anomalía,mental,Undirected
mental,creación,Undirected
hijas,matan,Undirected
matan,motochorros,Undirected
motochorros,enteraste,Undirected
enteraste,importante,Undirected
importante,tapar,Undirected
tapar,temas,Undirected
temas,progre,Undirected
progre,entendes,Undirected
entendes,aborto,Undirected
aborto,manifestaciones,Undirected
manifestaciones,planeros,Undirected
planeros,periodismo,Undirected
periodismo,argentina,Undirected
totalmente,penoso,Undirected
penoso,discurso,Undirected
discurso,pp,Undirected
pp,psoe,Undirected
pienso,digo,Undirected
digo,personas,Undirected
personas,afines,Undirected
afines,piensan,Undirected
piensan,afin,Undirected
habría,q,Undirected
q,preguntarte,Undirected
gente,vergüenza,Undirected
vergüenza,salir,Undirected
salir,medios,Undirected
medios,sabiendo,Undirected
sabiendo,pp,Undirected
pp,corrupto,Undirected
corrupto,chile,Undirected
derecha,siguiendo,Undirected
siguiendo,ejemplo,Undirected
ejemplo,trump,Undirected
trump,bolsonaro,Undirected
bolsonaro,modi,Undirected
modi,meloni,Undirected
meloni,vox,Undirected
vox,milei,Undirected
milei,lópez,Undirected
lópez,aliaga,Undirected
aliaga,nacional,Undirected
nacional,populismo,Undirected
populismo,inflama,Undirected
inflama,orilla,Undirected
orilla,sabiéndose,Undirected
sabiéndose,inútil,Undirected
inútil,llegar,Undirected
llegar,escenarios,Undirected
escenarios,moderación,Undirected
moderación,baste,Undirected
baste,declaraciones,Undirected
declaraciones,polémicas,Undirected
polémicas,polo,Undirected
polo,polo,Undirected
credo,q,Undirected
q,colunista,Undirected
colunista,bosta,Undirected
bergüenza,ley,Undirected
ley,ministra,Undirected
nombre,apropiado,Undirected
puto,cas,Undirected
ay,mercado,Undirected
mercado,libre,Undirected
libre,bloqueado,Undirected
bloqueado,error,Undirected
error,mercado,Undirected
mercado,libre,Undirected
libre,error,Undirected
error,qui,Undirected
qui,queja,Undirected
queja,denuncia,Undirected
denuncia,mercado,Undirected
mercado,libre,Undirected
libre,procesada,Undirected
procesada,desbloquea,Undirected
vieja,chocha,Undirected
chocha,maligna,Undirected
jueces,karina,Undirected
karina,breckle,Undirected
breckle,yamila,Undirected
yamila,flores,Undirected
flores,jorge,Undirected
jorge,odorisio,Undirected
odorisio,rectificaron,Undirected
rectificaron,penas,Undirected
penas,exministros,Undirected
exministros,provinciales,Undirected
provinciales,hallados,Undirected
hallados,culpables,Undirected
culpables,causa,Undirected
causa,revelación,Undirected
revelación,tuvieron,Undirected
tuvieron,principios,Undirected
principios,proporcionalidad,Undirected
proporcionalidad,igualdad,Undirected
igualdad,ley,Undirected
risas,urnas,Undirected
urnas,deis,Undirected
deis,bruces,Undirected
bruces,perretes,Undirected
perretes,peperos,Undirected
peperos,españa,Undirected
españa,empieza,Undirected
empieza,despertar,Undirected
despertar,viva,Undirected
viva,españa,Undirected
españa,viva,Undirected
viva,vox,Undirected
sergio,rojas,Undirected
rojas,llevó,Undirected
llevó,sorpresa,Undirected
sorpresa,audiencia,Undirected
vox,haciéndonos,Undirected
haciéndonos,quedar,Undirected
dices,estáis,Undirected
estáis,soltando,Undirected
soltando,violadores,Undirected
violadores,asesinos,Undirected
asesinos,pandilla,Undirected
pandilla,falsos,Undirected
falsos,interesan,Undirected
interesan,mujeres,Undirected
mujeres,vivís,Undirected
vivís,reís,Undirected
reís,desgracias,Undirected
desgracias,vas,Undirected
vas,presentar,Undirected
presentar,elecciones,Undirected
elecciones,auguro,Undirected
auguro,q,Undirected
q,votar,Undirected
votar,pastar,Undirected
tiemble,putin,Undirected
putin,tenéis,Undirected
tenéis,tipo,Undirected
tipo,gilipolleces,Undirected
gilipolleces,dais,Undirected
dais,risa,Undirected
risa,imbeciles,Undirected
trabajas,taxista,Undirected
taxista,votado,Undirected
votado,ayuso,Undirected
ayuso,parecido,Undirected
parecido,vida,Undirected
vida,dime,Undirected
dime,profesión,Undirected
profesión,tienes,Undirected
tienes,generalizar,Undirected
generalizar,joder,Undirected
joder,gremio,Undirected
hincha,river,Undirected
river,alienta,Undirected
alienta,gallardo,Undirected
inglés,clase,Undirected
clase,criticando,Undirected
criticando,vox,Undirected
vox,jajaja,Undirected
jajaja,crack,Undirected
ay,pidiesen,Undirected
pidiesen,cumplimiento,Undirected
cumplimiento,ley,Undirected
ley,castellano,Undirected
castellano,cataluña,Undirected
cataluña,ah,Undirected
ah,calla,Undirected
calla,socios,Undirected
socios,sánchez,Undirected
sánchez,patente,Undirected
patente,corso,Undirected
tebuscamos,reyes,Undirected
reyes,mauricio,Undirected
mauricio,montero,Undirected
montero,camargo,Undirected
camargo,tmps,Undirected
tmps,tamaulipas,Undirected
poneros,braguero,Undirected
braguero,duro,Undirected
duro,trabajo,Undirected
trabajo,ejerceis,Undirected
ejerceis,hernias,Undirected
hernias,trabajo,Undirected
trabajo,pesado,Undirected
pesado,edad,Undirected
general,promulgan,Undirected
promulgan,prohibiciones,Undirected
prohibiciones,aborto,Undirected
aborto,desempoderando,Undirected
desempoderando,económicamente,Undirected
económicamente,trabajadores,Undirected
trabajadores,vías,Undirected
bof,vivimos,Undirected
vivimos,distopia,Undirected
distopia,vivimos,Undirected
vivimos,alemania,Undirected
alemania,nazi,Undirected
nazi,gobierno,Undirected
gobierno,puño,Undirected
puño,hierro,Undirected
hierro,gobierno,Undirected
gobierno,induce,Undirected
induce,odio,Undirected
odio,fachas,Undirected
fachas,desayunan,Undirected
desayunan,bebés,Undirected
bebés,freijo,Undirected
freijo,mató,Undirected
mató,kennedy,Undirected
enhorabuena,carolina,Undirected
carolina,estaremos,Undirected
eurodiputada,húngara,Undirected
húngara,salido,Undirected
salido,q,Undirected
q,eurodiputado,Undirected
eurodiputado,pp,Undirected
pp,puesto,Undirected
puesto,país,Undirected
país,españa,Undirected
españa,caer,Undirected
caer,burro,Undirected
burro,manipules,Undirected
vergüenza,ppodrido,Undirected
ppodrido,ladrones,Undirected
fino,fino,Undirected
fino,zasca,Undirected
cc,oo,Undirected
oo,pide,Undirected
pide,inditex,Undirected
inditex,plus,Undirected
plus,euros,Undirected
euros,billete,Undirected
billete,avión,Undirected
avión,adopciones,Undirected
adopciones,internacionales,Undirected
ufffff,clara,Undirected
clara,vivo,Undirected
vivo,seguro,Undirected
seguro,siente,Undirected
siente,madre,Undirected
demuestre,afirma,Undirected
afirma,habría,Undirected
habría,estudio,Undirected
estudio,explícito,Undirected
explícito,contrastase,Undirected
contrastase,placer,Undirected
placer,prohibido,Undirected
prohibido,objetivo,Undirected
objetivo,hablando,Undirected
hablando,imagino,Undirected
imagino,adrenalina,Undirected
adrenalina,crece,Undirected
crece,peligroso,Undirected
madrid,central,Undirected
central,carmena,Undirected
carmena,cara,Undirected
cara,acero,Undirected
acero,comunistas,Undirected
comunistas,comunistas,Undirected
comunistas,pp,Undirected
viaje,sánchez,Undirected
sánchez,falcon,Undirected
falcon,mitin,Undirected
mitin,sevilla,Undirected
sevilla,vía,Undirected
roncaglia,sandez,Undirected
sandez,termina,Undirected
termina,ibarra,Undirected
ibarra,gallardo,Undirected
vicepresidenta,parlamento,Undirected
parlamento,europeo,Undirected
europeo,carga,Undirected
carga,plan,Undirected
plan,antiaborto,Undirected
antiaborto,vox,Undirected
vox,castilla,Undirected
castilla,león,Undirected
león,concierne,Undirected
concierne,vía,Undirected
señor,volveràn,Undirected
volveràn,votarle,Undirected
votarle,masa,Undirected
alternativa,izquierda,Undirected
izquierda,quiso,Undirected
quiso,aprobar,Undirected
aprobar,legalización,Undirected
legalización,canabis,Undirected
canabis,aborto,Undirected
aborto,nivel,Undirected
nivel,nacional,Undirected
nacional,izquierda,Undirected
izquierda,medicinas,Undirected
medicinas,metro,Undirected
metro,mantenimiento,Undirected
mantenimiento,costando,Undirected
costando,vidas,Undirected
respondieron,enterado,Undirected
quieren,llegar,Undirected
llegar,pretendes,Undirected
vida,dura,Undirected
dura,comer,Undirected
ferreras,acusa,Undirected
acusa,sayas,Undirected
sayas,adanero,Undirected
adanero,transfuguismo,Undirected
transfuguismo,incumplido,Undirected
incumplido,promesa,Undirected
promesa,acabar,Undirected
acabar,pp,Undirected
pp,momento,Undirected
momento,sayas,Undirected
sayas,adanero,Undirected
adanero,prometieron,Undirected
prometieron,jamás,Undirected
jamás,irían,Undirected
irían,pp,Undirected
pp,partido,Undirected
partido,distinto,Undirected
distinto,upn,Undirected
upn,ferreras,Undirected
ferreras,miente,Undirected
mañueco,socio,Undirected
socio,tira,Undirected
tira,piedra,Undirected
piedra,pone,Undirected
pone,venda,Undirected
imaginaba,cabecita,Undirected
cabecita,lógica,Undirected
lógica,funciona,Undirected
responsabilidad,posibilitar,Undirected
posibilitar,relaciones,Undirected
relaciones,bilaterales,Undirected
bilaterales,francas,Undirected
francas,marruecos,Undirected
marruecos,basadas,Undirected
basadas,diálogo,Undirected
diálogo,entendimiento,Undirected
entendimiento,critican,Undirected
critican,parlamentarios,Undirected
parlamentarios,pp,Undirected
pp,ausentado,Undirected
ausentado,debate,Undirected
debate,votación,Undirected
votación,efecto,Undirected
efecto,populares,Undirected
populares,españoles,Undirected
españoles,votado,Undirected
almacantaro,provoca,Undirected
provoca,listas,Undirected
listas,espera,Undirected
espera,nombras,Undirected
nombras,falta,Undirected
falta,inversión,Undirected
inversión,recursos,Undirected
recursos,sanidad,Undirected
sanidad,gestionáis,Undirected
gestionáis,recortais,Undirected
recortais,favorecer,Undirected
favorecer,amigos,Undirected
amigos,tonto,Undirected
tonto,toma,Undirected
toma,tontos,Undirected
tontos,uff,Undirected
uff,suplicio,Undirected
suplicio,pp,Undirected
persona,actue,Undirected
actue,cientos,Undirected
cientos,videos,Undirected
videos,ejemplos,Undirected
ejemplos,contrarios,Undirected
contrarios,gente,Undirected
gente,maleducada,Undirected
maleducada,lados,Undirected
lados,principalmente,Undirected
principalmente,proceden,Undirected
proceden,filas,Undirected
filas,roja,Undirected
roja,comunista,Undirected
comunista,feminista,Undirected
feminista,quieran,Undirected
quieran,gente,Undirected
gente,mento,Undirected
camino,vas,Undirected
vas,pérdida,Undirected
pérdida,miedo,Undirected
miedo,vida,Undirected
vida,feliz,Undirected
feliz,descubrirás,Undirected
muchísima,suerte,Undirected
suerte,carolina,Undirected
carolina,t,Undirected
t,deseo,Undirected
deseo,dsd,Undirected
dsd,cangas,Undirected
cangas,narcea,Undirected
narcea,suerte,Undirected
suerte,asturianos,Undirected
asturianos,mañana,Undirected
mañana,asturias,Undirected
asturias,d,Undirected
d,tantos,Undirected
tantos,años,Undirected
años,d,Undirected
d,socialismo,Undirected
socialismo,necesita,Undirected
necesita,cambio,Undirected
cambio,x,Undirected
x,generaciones,Undirected
generaciones,venideras,Undirected
venideras,futuras,Undirected
futuras,suerte,Undirected
rocío,monasterio,Undirected
monasterio,tremenda,Undirected
tremenda,demostración,Undirected
demostración,elegancia,Undirected
elegancia,educación,Undirected
educación,energúmeno,Undirected
energúmeno,paraba,Undirected
paraba,interrumpirla,Undirected
interrumpirla,quería,Undirected
quería,fuerza,Undirected
fuerza,vox,Undirected
vox,regalara,Undirected
regalara,votos,Undirected
votos,abortista,Undirected
abortista,ayuso,Undirected
ayuso,insultó,Undirected
insultó,gallardo,Undirected
q,pelotudez,Undirected
pelotudez,publicación,Undirected
publicación,q,Undirected
q,comparten,Undirected
comparten,aborto,Undirected
sacar,pobrecitos,Undirected
carmena,pasa,Undirected
pasa,derecha,Undirected
derecha,losantos,Undirected
losantos,izquierda,Undirected
izquierda,ayayayayai,Undirected
ayayayayai,rompen,Undirected
rompen,polarización,Undirected
pp,acompejados,Undirected
gracias,iluminado,Undirected
margallo,mintiendo,Undirected
mintiendo,crispando,Undirected
crispando,mantra,Undirected
mantra,cuela,Undirected
cuela,pp,Undirected
pp,desfachatez,Undirected
desfachatez,ridícula,Undirected
ridícula,sr,Undirected
sr,margallo,Undirected
margallo,pp,Undirected
pp,subsiste,Undirected
subsiste,polémicas,Undirected
polémicas,fomenta,Undirected
elecciones,recordar,Undirected
recordar,infames,Undirected
infames,votación,Undirected
votación,pp,Undirected
pp,vox,Undirected
vox,votaron,Undirected
votaron,prohibir,Undirected
prohibir,vender,Undirected
vender,pérdidas,Undirected
pérdidas,alimentos,Undirected
alimentos,votaron,Undirected
votaron,cobrar,Undirected
cobrar,impuestos,Undirected
impuestos,eléctrics,Undirected
eléctrics,votaron,Undirected
votaron,smi,Undirected
smi,trabajadores,Undirected
trabajadores,tuvieran,Undirected
tuvieran,sueldos,Undirected
sueldos,signos,Undirected
pp,non,Undirected
non,pode,Undirected
pode,seguir,Undirected
seguir,amarrado,Undirected
amarrado,unha,Undirected
unha,ultradereita,Undirected
ultradereita,pretende,Undirected
pretende,recortar,Undirected
recortar,dereitos,Undirected
dereitos,das,Undirected
das,mulleres,Undirected
mulleres,non,Undirected
non,permitir,Undirected
permitir,nin,Undirected
nin,paso,Undirected
paso,atrás,Undirected
atrás,ata,Undirected
ata,ata,Undirected
ata,federico,Undirected
federico,jiménez,Undirected
jiménez,losantos,Undirected
losantos,lle,Undirected
lle,tira,Undirected
tira,das,Undirected
das,orellas,Undirected
orellas,feijóo,Undirected
tope,gas,Undirected
gas,bajar,Undirected
bajar,iva,Undirected
iva,luz,Undirected
luz,ley,Undirected
ley,eutanasia,Undirected
eutanasia,cheque,Undirected
cheque,ayuda,Undirected
ayuda,subir,Undirected
subir,ingreso,Undirected
ingreso,mínimo,Undirected
mínimo,vital,Undirected
vital,bono,Undirected
bono,social,Undirected
social,eléctrico,Undirected
eléctrico,investigación,Undirected
investigación,muertes,Undirected
muertes,residencias,Undirected
residencias,prohibir,Undirected
prohibir,despido,Undirected
despido,enfermo,Undirected
enfermo,derecha,Undirected
famoso,duelo,Undirected
ole,guapa,Undirected
informarse,hombre,Undirected
hombre,pongan,Undirected
pongan,video,Undirected
video,sanidad,Undirected
sanidad,cl,Undirected
cl,pp,Undirected
pp,tema,Undirected
tema,ecografias,Undirected
ecografias,pepero,Undirected
tenéis,cojones,Undirected
cojones,seguir,Undirected
seguir,protocolo,Undirected
protocolo,boquilla,Undirected
boquilla,huevos,Undirected
huevos,derechita,Undirected
derechita,cobarde,Undirected
cobarde,jajajjaajajaj,Undirected
famoso,ministro,Undirected
ministro,pp,Undirected
pp,españa,Undirected
españa,hunda,Undirected
hunda,levantaremos,Undirected
levantaremos,fácil,Undirected
fácil,hundir,Undirected
hundir,construir,Undirected
opinión,escala,Undirected
escala,valores,Undirected
valores,distinta,Undirected
distinta,señora,Undirected
señora,caso,Undirected
caso,ojalá,Undirected
ojalá,goce,Undirected
goce,salud,Undirected
salud,criar,Undirected
criar,niños,Undirected
tienes,idea,Undirected
idea,escribir,Undirected
escribir,estás,Undirected
falsa,dicotomía,Undirected
dicotomía,dicotomía,Undirected
dicotomía,igualdad,Undirected
igualdad,postura,Undirected
postura,creer,Undirected
creer,único,Undirected
único,define,Undirected
define,izq,Undirected
izq,der,Undirected
der,pro,Undirected
pro,igualdad,Undirected
igualdad,ambas,Undirected
ambas,pedir,Undirected
pedir,actitudes,Undirected
actitudes,logra,Undirected
dirás,cumplir,Undirected
cumplir,pacta,Undirected
pienso,feijóo,Undirected
feijóo,pactado,Undirected
pactado,sánchez,Undirected
sánchez,sánchez,Undirected
sánchez,traicionar,Undirected
patrimonio,izquierda,Undirected
izquierda,pobre,Undirected
digo,ó,Undirected
ó,acentuado,Undirected
acentuado,fascista,Undirected
auténtica,vergüenza,Undirected
clarísimo,línea,Undirected
línea,igualdad,Undirected
igualdad,mejorar,Undirected
mejorar,aplastar,Undirected
aplastar,abajo,Undirected
abajo,técnicamente,Undirected
técnicamente,miente,Undirected
demuestra,psoe,Undirected
psoe,miente,Undirected
apoyo,olvides,Undirected
olvides,fjs,Undirected
fjs,comunista,Undirected
comunista,voto,Undirected
voto,pp,Undirected
pp,cs,Undirected
cs,vox,Undirected
vox,piensa,Undirected
piensa,cosa,Undirected
cosa,muerde,Undirected
muerde,mano,Undirected
mano,comer,Undirected
comer,escuchaba,Undirected
escuchaba,prepotente,Undirected
prepotente,faltón,Undirected
faltón,soloquedavox,Undirected
estomatología,puerto,Undirected
puerto,padre,Undirected
padre,indira,Undirected
indira,gandhi,Undirected
gandhi,convirtio,Undirected
convirtio,mujer,Undirected
mujer,ocupar,Undirected
ocupar,cargo,Undirected
cargo,ministra,Undirected
ministra,somoscuba,Undirected
somoscuba,somoscontinuidad,Undirected
somoscontinuidad,somosrevolución,Undirected
vas,colgar,Undirected
colgar,vos,Undirected
vos,fracasada,Undirected
fracasada,q,Undirected
q,pijazo,Undirected
pijazo,comen,Undirected
comen,año,Undirected
año,comer,Undirected
malo,quieren,Undirected
quieren,extinguir,Undirected
extinguir,humanidad,Undirected
humanidad,pandemias,Undirected
pandemias,diseñadas,Undirected
diseñadas,fumigaciones,Undirected
fumigaciones,cambiar,Undirected
cambiar,clima,Undirected
clima,envenenar,Undirected
envenenar,terrenos,Undirected
terrenos,atmósfera,Undirected
atmósfera,provocar,Undirected
provocar,guerras,Undirected
guerras,ucrania,Undirected
ucrania,dejarnos,Undirected
dejarnos,despensa,Undirected
despensa,cereales,Undirected
cereales,energía,Undirected
energía,aborto,Undirected
aborto,masivo,Undirected
crees,hulio,Undirected
aprovechar,normal,Undirected
normal,irene,Undirected
irene,montero,Undirected
montero,ayudar,Undirected
ayudar,ex,Undirected
ex,monica,Undirected
monica,oltra,Undirected
oltra,shorts,Undirected
shorts,irenemonter,Undirected
nazca,asfixias,Undirected
asfixias,enferma,Undirected
caso,periodista,Undirected
periodista,radi,Undirected
radi,infectado,Undirected
infectado,software,Undirected
software,israelí,Undirected
israelí,pegasus,Undirected
pegasus,decenas,Undirected
decenas,defensores,Undirected
defensores,derechos,Undirected
derechos,humanos,Undirected
humanos,periodistas,Undirected
periodistas,acosados,Undirected
acosados,marruecos,Undirected
gallardo,dirigiendo,Undirected
dirigiendo,messi,Undirected
messi,neymar,Undirected
neymar,mbappe,Undirected
mbappe,kajfjajdjd,Undirected
kajfjajdjd,noooo,Undirected
noooo,obama,Undirected
obama,frena,Undirected
frena,auto,Undirected
auto,dije,Undirected
dije,quiero,Undirected
quiero,brasil,Undirected
playa,harleys,Undirected
harleys,in,Undirected
in,hawaii,Undirected
hawaii,katy,Undirected
katy,perry,Undirected
perry,besan,Undirected
olvido,padre,Undirected
padre,mitad,Undirected
mitad,hombre,Undirected
hombre,crear,Undirected
crear,humano,Undirected
atrevete,mujeres,Undirected
mujeres,madrugamos,Undirected
madrugamos,madrugada,Undirected
madrugada,restringe,Undirected
restringe,calefacción,Undirected
calefacción,alto,Undirected
alto,coste,Undirected
coste,comer,Undirected
comer,saludablemente,Undirected
saludablemente,hijos,Undirected
hijos,menores,Undirected
menores,estando,Undirected
estando,cansada,Undirected
cansada,expreso,Undirected
expreso,mujer,Undirected
mujer,tienes,Undirected
tienes,moral,Undirected
sandeces,soltáis,Undirected
judicial,obra,Undirected
obra,gracia,Undirected
gracia,apoyo,Undirected
apoyo,regalado,Undirected
regalado,pp,Undirected
pp,cientos,Undirected
cientos,casos,Undirected
casos,gordos,Undirected
gordos,archivado,Undirected
archivado,ocultando,Undirected
ocultando,ejemplo,Undirected
ejemplo,escandalazos,Undirected
escandalazos,valencia,Undirected
valencia,baleares,Undirected
álbum,cromos,Undirected
cromos,igualdad,Undirected
igualdad,moaña,Undirected
pp,ofrece,Undirected
ofrece,romper,Undirected
romper,vox,Undirected
vox,cyl,Undirected
cyl,sánchez,Undirected
sánchez,deja,Undirected
deja,gobierne,Undirected
gobierne,situación,Undirected
situación,flota,Undirected
flota,estelar,Undirected
necesita,jueces,Undirected
jueces,impongan,Undirected
impongan,condenas,Undirected
condenas,ejemplares,Undirected
ejemplares,den,Undirected
den,honor,Undirected
honor,investidura,Undirected
dura,carta,Undirected
carta,defensor,Undirected
defensor,paciente,Undirected
paciente,exigiendo,Undirected
exigiendo,dimisión,Undirected
dimisión,machito,Undirected
machito,retrógrado,Undirected
retrógrado,vía,Undirected
dinero,público,Undirected
público,vivir,Undirected
deis,quieren,Undirected
quieren,arriman,Undirected
arriman,pierden,Undirected
pierden,votos,Undirected
votos,extrema,Undirected
extrema,derecha,Undirected
derecha,lejos,Undirected
olvida,abogados,Undirected
abogados,oficio,Undirected
oficio,últimamente,Undirected
últimamente,asistentes,Undirected
asistentes,sociales,Undirected
sociales,quieren,Undirected
quieren,abogados,Undirected
abogados,cuñaos,Undirected
falso,amsterdam,Undirected
amsterdam,gana,Undirected
queda,pongan,Undirected
pongan,nodo,Undirected
nodo,putos,Undirected
putos,fascistas,Undirected
tontos,tontos,Undirected
explicado,fenomenal,Undirected
fenomenal,artículo,Undirected
artículo,apto,Undirected
apto,groupies,Undirected
groupies,vox,Undirected
diciendo,enserio,Undirected
enserio,vas,Undirected
vas,negar,Undirected
negar,negándole,Undirected
negándole,derecho,Undirected
derecho,vida,Undirected
vida,feto,Undirected
feto,argentina,Undirected
argentina,derecho,Undirected
derecho,primordial,Undirected
primordial,derecho,Undirected
derecho,vida,Undirected
vida,aborto,Undirected
aborto,contradice,Undirected
contradice,completamente,Undirected
completamente,derecho,Undirected
derecho,permitiendo,Undirected
permitiendo,matar,Undirected
matar,legalmente,Undirected
democracia,españa,Undirected
españa,abortos,Undirected
abortos,año,Undirected
ve,interesados,Undirected
interesados,liarla,Undirected
liarla,parda,Undirected
parda,momento,Undirected
momento,indicado,Undirected
indicado,soberbia,Undirected
soberbia,bajaría,Undirected
bajaría,rapidito,Undirected
rapidito,rompiese,Undirected
rompiese,gobierno,Undirected
gobierno,cyl,Undirected
cyl,urnas,Undirected
urnas,iban,Undirected
iban,par,Undirected
par,cosas,Undirected
ahh,viejo,Undirected
viejo,discurso,Undirected
discurso,caballerosidad,Undirected
caballerosidad,pasa,Undirected
pasa,volteo,Undirected
volteo,ojos,Undirected
ojos,mujer,Undirected
mujer,sonrió,Undirected
sonrió,risa,Undirected
risa,completamente,Undirected
completamente,burlona,Undirected
burlona,arde,Undirected
arde,duele,Undirected
duele,quw,Undirected
quw,palabra,Undirected
supremo,rechaza,Undirected
rechaza,denuncia,Undirected
denuncia,manos,Undirected
manos,limpias,Undirected
limpias,irene,Undirected
irene,montero,Undirected
montero,criticar,Undirected
criticar,jueces,Undirected
vox,denuncia,Undirected
denuncia,deriva,Undirected
deriva,unión,Undirected
unión,europea,Undirected
pp,só,Undirected
hechos,gente,Undirected
gente,visto,Undirected
visto,revisadas,Undirected
revisadas,condenas,Undirected
condenas,entró,Undirected
entró,vigor,Undirected
vigor,descartan,Undirected
descartan,hechos,Undirected
hechos,hechos,Undirected
hechos,ve,Undirected
llamaban,libertador,Undirected
pasar,vecina,Undirected
vecina,vecina,Undirected
vecina,vecina,Undirected
vecina,afectada,Undirected
afectada,despropósito,Undirected
despropósito,representante,Undirected
representante,pp,Undirected
pp,local,Undirected
local,conocen,Undirected
conocen,escondo,Undirected
escondo,crees,Undirected
crees,has,Undirected
has,descubierto,Undirected
descubierto,agua,Undirected
agua,tibia,Undirected
tibia,sherlock,Undirected
años,escuchado,Undirected
escuchado,federico,Undirected
federico,años,Undirected
años,interrupción,Undirected
interrupción,ponerse,Undirected
ponerse,pesado,Undirected
pesado,miedo,Undirected
miedo,equivocarme,Undirected
equivocarme,federico,Undirected
federico,pepero,Undirected
repugnante,mirarlas,Undirected
mirarlas,casos,Undirected
casos,apoyo,Undirected
apoyo,femicidio,Undirected
femicidio,trolas,Undirected
trolas,inmundas,Undirected
inmundas,pena,Undirected
pena,muerte,Undirected
muerte,estuviéramos,Undirected
estuviéramos,gob,Undirected
gob,militar,Undirected
militar,democracia,Undirected
democracia,daño,Undirected
daño,país,Undirected
país,militares,Undirected
militares,iban,Undirected
iban,animar,Undirected
animar,ésto,Undirected
vox,populi,Undirected
populi,comenta,Undirected
comenta,años,Undirected
años,prestanombres,Undirected
prestanombres,administran,Undirected
administran,riqueza,Undirected
riqueza,inmobiliaria,Undirected
